Order Number,Pickup Point ID,SLS Tracking Number,3PL Tracking Number,Seller Name,Seller Phone,Create Time,Status,Shopee Order SN,Buyer Sort Code,Pickup Time,Pickup Driver,DC Receive Time,Assigned Time,Bulky Type,PickUp TaskNumber,Shop ID/DOP ID,ETA,pickup attempts,seller’s fault times,update history,Seller Sort Code,Seller Zipcode,State,City,Neighbor,Seller Address
BR258056103579Q,1013926078_002,BR258056103579Q,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila gustavo correia,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR255173309561C,1013926078_002,BR255173309561C,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim IV Centenário,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2597751896209,1013926078_002,BR2597751896209,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim São Nicolau,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR253271156729O,1013926078_002,BR253271156729O,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Yone,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR256396386353R,1013926078_002,BR256396386353R,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila Bertioga,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:35,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR253680394324M,1013926078_002,BR253680394324M,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Comunitário,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR254330669081A,1013926078_002,BR254330669081A,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Itaim Bibi,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2574890102074,1013926078_002,BR2574890102074,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Leônidas Moreira,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR252798125019U,1013926078_002,BR252798125019U,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila Graciosa,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR251920025445P,1013926078_002,BR251920025445P,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Matarazzo,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR254073794510O,1013926078_002,BR254073794510O,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Parque Reboucas,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR256693843542U,1013926078_002,BR256693843542U,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila São João Batista,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR253040595619X,1013926078_002,BR253040595619X,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Parque Boturussu,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:35,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR254630308304O,1013926078_002,BR254630308304O,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Parque Maria Helena,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:34,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR250992648584D,1013926078_002,BR250992648584D,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila do Castelo,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR255397890849S,1013926078_002,BR255397890849S,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Parque Oratório,03/03/2025 11:33,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2555614121733,1013926078_002,BR2555614121733,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Cerqueira César,03/03/2025 11:35,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2540656161441,1013926078_002,BR2540656161441,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Vila Dom Pedro I,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR255219814384N,1013926078_002,BR255219814384N,,Mw cosméticos,5511987333281,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Albertina,03/03/2025 11:34,FELIPE LOURENCO DE OLIVEIRA,03/03/2025 12:33,03/03/2025 11:04,N/A,PT2025030311RA9,1013926078,03/03/2025 23:59,0,0,,Vila Industrial,03253000,São Paulo,São Paulo,Vila Industrial,"Avenida Morais Costa, 369, sala 03"
BR2572078578964,284862329_005,BR2572078578964,,Lojas Gupar,551129899450,03/03/2025 10:00,Inbounded,250302GVE7FBDH,Jardim Brasil (Zona Norte),06/03/2025 11:42,MARCELO GERALDO,06/03/2025 12:51,06/03/2025 03:22,N/A,PT20250306135W8,284862329,03/03/2025 23:59,3,2,,Jardim Japão,02132120,São Paulo,São Paulo,Jardim Japão,"R Yamato, 389, Empresa"
BR255398911945Z,530370669_003,BR255398911945Z,,FAST MO,5511982812817,03/03/2025 09:59,Inbounded,250302GVE7FBDH,Vila Venditti,03/03/2025 12:35,Ademir chaves de morais junior,03/03/2025 14:09,03/03/2025 12:21,N/A,PT2025030311R9I,530370669,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR255383709527S,530370669_003,BR255383709527S,,FAST MO,5511982812817,03/03/2025 09:58,Inbounded,250302GVE7FBDH,Jardim Cotinha,05/03/2025 08:59,Ademir chaves de morais junior,05/03/2025 10:59,05/03/2025 05:48,N/A,PT2025030512425,530370669,03/03/2025 23:59,2,1,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR251796672448S,832031799_004,BR251796672448S,,Vida Criativa ,5511916399169,03/03/2025 09:58,Inbounded,250302GVE7FBDH,Jardim Monte Kemel,03/03/2025 12:03,Ademir chaves de morais junior,03/03/2025 14:09,03/03/2025 11:03,N/A,PT2025030311R9A,832031799,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA04"
BR258171690241R,530370669_003,BR258171690241R,,FAST MO,5511982812817,03/03/2025 09:58,Inbounded,250302GVE7FBDH,Portal D'Oeste I,03/03/2025 12:32,Ademir chaves de morais junior,03/03/2025 14:11,03/03/2025 12:21,N/A,PT2025030311R9I,530370669,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR2538841959265,461633669_003,BR2538841959265,,MAX MO (Atacado & Varejo),5511984537583,03/03/2025 09:57,Inbounded,250302GVE7FBDH,Vila Nova Mazzei,03/03/2025 12:31,Ademir chaves de morais junior,03/03/2025 14:12,03/03/2025 12:21,N/A,PT2025030311R9K,461633669,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 76"
BR255995225391X,297548407_002,BR255995225391X,,COLORFUL ROSA,5511987660999,03/03/2025 09:54,Inbounded,250302GVE7FBDH,Santo Amaro,03/03/2025 10:05,Thiago Aelson Sioji,03/03/2025 10:43,,N/A,PT202503031198Z,297548407,03/03/2025 23:59,0,0,,Canindé,03031010,São Paulo,São Paulo,Canindé,"R Vitor Hugo, 53, 2ºANDAR"
BR2505431635651,569114904_002,BR2505431635651,,BEST MO,5511983993320,03/03/2025 09:53,Inbounded,250302GVE7FBDH,Jardim Ana Estela,03/03/2025 11:47,Ademir chaves de morais junior,03/03/2025 14:02,03/03/2025 11:03,N/A,PT2025030311R98,569114904,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR251381530586N,569114904_002,BR251381530586N,,BEST MO,5511983993320,03/03/2025 09:50,Inbounded,250302GVE7FBDH,Vila Santa Terezinha,03/03/2025 12:37,Joyce Maiara de Souza silva,03/03/2025 13:59,03/03/2025 12:21,N/A,PT2025030311STW,569114904,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 72"
BR256210640834G,832040275_003,BR256210640834G,,P&H  Oficial,5511915914778,03/03/2025 09:50,Inbounded,250302GVE7FBDH,Prosperidade,03/03/2025 12:32,Ademir chaves de morais junior,03/03/2025 14:10,03/03/2025 12:21,N/A,PT2025030311R9B,832040275,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA05"
BR2551115103341,1007379684_003,BR2551115103341,,NEW WORD MAGAZINE,5511937781681,03/03/2025 09:49,Inbounded,250302GVE7FBDH,Parque Císper,03/03/2025 12:03,Ademir chaves de morais junior,03/03/2025 14:08,03/03/2025 11:03,N/A,PT2025030311R9F,1007379684,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA12"
BR259594268444X,461633669_003,BR259594268444X,,MAX MO (Atacado & Varejo),5511984537583,03/03/2025 09:48,Inbounded,250302GVE7FBDH,Jardim Fontalis,03/03/2025 11:46,Ademir chaves de morais junior,03/03/2025 14:04,03/03/2025 11:03,N/A,PT2025030311R9K,461633669,03/03/2025 23:59,0,0,,Pari,03035115,São Paulo,São Paulo,Pari,"R Monsenhor Abreu, 76"
BR2553575036886,1219810528_006,BR2553575036886,,go acessorios,5519971227855,03/03/2025 09:48,Inbounded,250302GVE7FBDH,Jardim Nossa Senhora do Carmo,03/03/2025 12:01,ANDERSON VICENTE OLDANI,03/03/2025 14:27,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR251297443261Z,1007375842_001,BR251297443261Z,,1000 Coisas Variedades,5511942631700,03/03/2025 09:48,Inbounded,250302GVE7FBDH,Vila Carmosina,05/03/2025 08:54,Ademir chaves de morais junior,05/03/2025 11:01,05/03/2025 05:48,N/A,PT202503051242G,1007375842,03/03/2025 23:59,2,1,,Pari,03035115,São Paulo,São Paulo,Pari,"R Mns Abreu, 72, SALA11"
BR253210190698A,1219810528_006,BR253210190698A,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Vila Figueira,03/03/2025 12:01,ANDERSON VICENTE OLDANI,03/03/2025 14:28,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR2559707140506,1219810528_006,BR2559707140506,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Jardim Olympia,03/03/2025 12:04,ANDERSON VICENTE OLDANI,03/03/2025 14:26,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR2561776331254,1219810528_006,BR2561776331254,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Burgo Paulista,03/03/2025 12:06,ANDERSON VICENTE OLDANI,03/03/2025 14:29,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR2505765435527,297548407_002,BR2505765435527,,COLORFUL ROSA,5511987660999,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Vila Nova Manchester,03/03/2025 10:06,Thiago Aelson Sioji,03/03/2025 10:43,,N/A,PT202503031198Z,297548407,03/03/2025 23:59,0,0,,Canindé,03031010,São Paulo,São Paulo,Canindé,"R Vitor Hugo, 53, 2ºANDAR"
BR259434720266X,1219810528_006,BR259434720266X,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Parque Boturussu,03/03/2025 12:00,ANDERSON VICENTE OLDANI,03/03/2025 14:25,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR251258301210D,1219810528_006,BR251258301210D,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Jardim Egle,03/03/2025 12:04,ANDERSON VICENTE OLDANI,03/03/2025 14:27,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR259571620669A,1219810528_006,BR259571620669A,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Jardim Piratininga,03/03/2025 12:01,ANDERSON VICENTE OLDANI,03/03/2025 14:29,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR2557944503389,1219810528_006,BR2557944503389,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Jardim de Lorenzo,03/03/2025 12:04,ANDERSON VICENTE OLDANI,03/03/2025 14:28,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR2591629853837,1219810528_006,BR2591629853837,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Vila Moraes,03/03/2025 12:07,ANDERSON VICENTE OLDANI,03/03/2025 14:27,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR252967082317I,279362291_002,BR252967082317I,,Trevo Eletrônicos,5511958887888,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Jardim Mitsutani,03/03/2025 12:15,CARLOS JULIO ROJAS PINATE,03/03/2025 13:22,03/03/2025 11:35,N/A,PT2025030311RYJ,279362291,03/03/2025 23:59,0,0,,Luz,01106010,São Paulo,São Paulo,Luz,"Rua Alfredo Maia, 406, Funcionamos as 10hr a 17hr"
BR259922966410C,1219810528_006,BR259922966410C,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Barro Branco (Zona Norte),03/03/2025 12:00,ANDERSON VICENTE OLDANI,03/03/2025 14:29,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR255229982390I,1219810528_006,BR255229982390I,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Pq edu chaves,03/03/2025 12:01,ANDERSON VICENTE OLDANI,03/03/2025 14:26,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR259425103194J,1219810528_006,BR259425103194J,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Vila Monte Alegre,03/03/2025 12:07,ANDERSON VICENTE OLDANI,03/03/2025 14:29,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR254173709573B,1219810528_006,BR254173709573B,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Vila Nossa Senhora de Fátima,03/03/2025 12:02,ANDERSON VICENTE OLDANI,03/03/2025 14:28,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR255014337084D,1219810528_006,BR255014337084D,,go acessorios,5519971227855,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Mooca,03/03/2025 12:01,ANDERSON VICENTE OLDANI,03/03/2025 14:26,03/03/2025 11:14,N/A,PT2025030311RIF,1219810528,03/03/2025 23:59,0,0,,Vila Norma,08070000,São Paulo,São Paulo,Vila Norma,"Avenida São Miguel, 7241, Sala 2"
BR2519524677519,372797694_003,BR2519524677519,,Festejando25,5511993113853,03/03/2025 09:47,Inbounded,250302GVE7FBDH,Jardim Presidente Dutra,05/03/2025 09:39,ANDERSON VICENTE OLDANI,05/03/2025 10:32,05/03/2025 07:55,N/A,PT2025030512FY8,372797694,03/03/2025 23:59,1,1,,Vila Formosa,03416000,São Paulo,São Paulo,Vila Formosa,"Rua Pretória, 1406, Loja Festejando25"
